Name,
1999/1/26,3990
1999/1/27,4100
1999/1/28,4080
1999/1/29,4190
1999/2/1,4350
1999/2/2,4220
1999/2/3,4200
1999/2/4,4200
1999/2/5,4130
1999/2/8,4170
1999/2/9,4170
1999/2/10,4180
1999/2/11,4150
1999/2/12,4100
1999/2/15,4100
1999/2/16,4100
1999/2/17,3940
1999/2/18,3850
1999/2/19,3820
1999/2/22,3900
1999/2/23,3890
1999/2/24,3850
1999/2/25,3790
1999/2/26,3810
1999/3/1,3820
1999/3/2,3790
1999/3/3,3740
1999/3/4,3730
1999/3/5,3710
1999/3/8,3750
1999/3/9,3790
1999/3/10,3840
1999/3/11,3970
1999/3/12,4020
1999/3/15,3960
1999/3/16,3990
1999/3/17,3980
1999/3/18,3970
1999/3/19,3970
1999/3/22,3950
1999/3/23,3860
1999/3/24,3820
1999/3/25,3820
1999/3/26,3830
1999/3/29,3890
1999/3/30,4070
1999/3/31,4130
1999/4/1,4130
1999/4/2,4130
1999/4/5,4290
1999/4/6,4470
1999/4/7,4350
1999/4/8,4250
1999/4/9,4210
1999/4/12,4220
1999/4/13,4170
1999/4/14,4200
1999/4/15,4580
1999/4/16,4950
1999/4/19,4950
1999/4/20,5030
1999/4/21,4990
1999/4/22,5100
1999/4/23,5280
1999/4/26,5460
1999/4/27,5460
1999/4/28,5550
1999/4/29,5460
1999/4/30,5520
1999/5/3,5470
1999/5/4,5610
1999/5/5,5660
1999/5/6,5900
1999/5/7,5900
1999/5/10,6250
1999/5/11,6390
1999/5/12,6310
